"","Sno","Province","Coal Field","District","Mine","Notes","Worked by Joint Stock Companies","Worked by private owners","Worked by Government of India","Non-Act mines","When Opened","1901","1902","1903","1904","1905","1906","1907","1908","1909","1910","lat_manual","long_manual","geo","coordinates.lon","coordinates.lat"
"257",257,"Bengal","Jharia","Manbhum","Kujama","2 mines",NA, 1,NA,NA,"1902",NA,NA,NA,NA,NA,NA,NA,NA,NA,   48320,"23.73095638581621"," 86.43347805507628","Manbhum District, Kujama",78.96288,20.59368
"258",258,"Bengal","Jharia","Manbhum","Kujama","South",NA, 1,NA,NA,"1906",NA,NA,NA,NA,NA,NA,NA,NA,NA,       0,"23.73095638581621"," 86.43347805507628","Manbhum District, Kujama",78.96288,20.59368
"259",259,"Bengal","Jharia","Manbhum","Kurkend","2 mines",NA, 1,NA,NA,"1895",NA,NA,NA,NA,NA,NA,NA,NA,NA,   45084,"23.773422213846096"," 86.36749056508884","Manbhum District, Kurkend",78.96288,20.59368
"260",260,"Bengal","Jharia","Manbhum","Kurkend",NA,NA, 1,NA,NA,"1900",NA,NA,NA,NA,NA,NA,NA,NA,NA,   19658,"23.773422213846096"," 86.36749056508884","Manbhum District, Kurkend",78.96288,20.59368
"261",261,"Bengal","Jharia","Manbhum","Kusunda",NA,NA, 1,NA,NA,"1895",NA,NA,NA,NA,NA,NA,NA,NA,NA,   29777,"23.779365532508574"," 86.37641451888808","Manbhum District, Kusunda",86.37569,23.77745
"262",262,"Bengal","Jharia","Manbhum","Kusunda",NA,NA, 1,NA,NA,"1898",NA,NA,NA,NA,NA,NA,NA,NA,NA,   19585,"23.779365532508574"," 86.37641451888808","Manbhum District, Kusunda",86.37569,23.77745
"263",263,"Bengal","Jharia","Manbhum","Kusunda",NA,NA, 1,NA,NA,"1907",NA,NA,NA,NA,NA,NA,NA,NA,NA,       0,"23.779365532508574"," 86.37641451888808","Manbhum District, Kusunda",86.37569,23.77745
"264",264,"Bengal","Jharia","Manbhum","Lodna",NA,NA, 1,NA,NA,"1901",NA,NA,NA,NA,NA,NA,NA,NA,NA,   25233,"23.731003625905903"," 86.44131691905234","Manbhum District, Lodna",86.44138,23.73077
"265",265,"Bengal","Jharia","Manbhum","Laksmi Narayan",NA,NA, 1,NA,NA,"1907",NA,NA,NA,NA,NA,NA,NA,NA,NA,       0,"NA",NA,"Manbhum District, Laksmi Narayan",78.96288,20.59368
"266",266,"Bengal","Jharia","Manbhum","Lutipahari",NA,NA, 1,NA,NA,"1908",NA,NA,NA,NA,NA,NA,NA,NA,NA,       0,"23.78392251777579"," 86.19643840556817","Manbhum District, Lutipahari",86.20441,23.78672
"267",267,"Bengal","Jharia","Manbhum","Madhudi",NA,NA, 1,NA,NA,"1910",NA,NA,NA,NA,NA,NA,NA,NA,NA,      50,"23.724904875909132"," 86.25472173380956","Manbhum District, Madhudi",77.02118,13.81977
"268",268,"Bengal","Jharia","Manbhum","Mandra",NA,NA, 1,NA,NA,"1907",NA,NA,NA,NA,NA,NA,NA,NA,NA,       0,"23.790295334189363"," 86.22275296269416","Manbhum District, Mandra",78.96288,20.59368
"269",269,"Bengal","Jharia","Manbhum","Mandra",NA,NA, 1,NA,NA,"1908",NA,NA,NA,NA,NA,NA,NA,NA,NA,       0,"23.790295334189363"," 86.22275296269416","Manbhum District, Mandra",78.96288,20.59368
"270",270,"Bengal","Jharia","Manbhum","Mandra Khas",NA,NA, 1,NA,NA,"1908",NA,NA,NA,NA,NA,NA,NA,NA,NA,       0,"23.790295334189363"," 86.22275296269416","Manbhum District, Mandra Khas",78.96288,20.59368
"271",271,"Bengal","Jharia","Manbhum","Nadkhurki",NA,NA, 1,NA,NA,"1907",NA,NA,NA,NA,NA,NA,NA,NA,NA,   20369,"23.783195165122685"," 86.19038021649872","Manbhum District, Nadkhurki",78.96288,20.59368
"272",272,"Bengal","Jharia","Manbhum","Pandebera","2 mines (location unclear)",NA, 1,NA,NA,"1901",NA,NA,NA,NA,NA,NA,NA,NA,NA,   26613,"23.73055785024231"," 86.43326647962306","Manbhum District, Pandebera",78.96288,20.59368
"273",273,"Bengal","Jharia","Manbhum","Pandedih","2 mines",NA, 1,NA,NA,"1901",NA,NA,NA,NA,NA,NA,NA,NA,NA,     842,"23.796450692445035"," 86.34403173644803","Manbhum District, Pandedih",86.05041,24.44617
"274",274,"Bengal","Jharia","Manbhum","Pandedih",NA,NA, 1,NA,NA,"1906",NA,NA,NA,NA,NA,NA,NA,NA,NA,    2003,"23.796450692445035"," 86.34403173644803","Manbhum District, Pandedih",86.05041,24.44617
"275",275,"Bengal","Jharia","Manbhum","Pandedih",NA,NA, 1,NA,NA,"1907",NA,NA,NA,NA,NA,NA,NA,NA,NA,       0,"23.796450692445035"," 86.34403173644803","Manbhum District, Pandedih",86.05041,24.44617
"276",276,"Bengal","Jharia","Manbhum","Pandedih","2 mines",NA, 1,NA,NA,"1908",NA,NA,NA,NA,NA,NA,NA,NA,NA,       0,"23.796450692445035"," 86.34403173644803","Manbhum District, Pandedih",86.05041,24.44617
"277",277,"Bengal","Jharia","Manbhum","Panradih",NA,NA, 1,NA,NA,"1901",NA,NA,NA,NA,NA,NA,NA,NA,NA,       0,"23.796450692445035"," 86.34403173644803","Manbhum District, Panradih",78.96288,20.59368
"278",278,"Bengal","Jharia","Manbhum","Parbad",NA,NA, 1,NA,NA,"1902",NA,NA,NA,NA,NA,NA,NA,NA,NA,    1435,"23.714411745605307"," 86.42261534899995","Manbhum District, Parbad",86.47817,22.93401
"279",279,"Bengal","Jharia","Manbhum","Parelgoria","Location unclear",NA, 1,NA,NA,"1907",NA,NA,NA,NA,NA,NA,NA,NA,NA,       0,"23.778265624111487"," 86.37750718888896","Manbhum District, Parelgoria",78.96288,20.59368
"280",280,"Bengal","Jharia","Manbhum","Parelgoria","Location unclear",NA, 1,NA,NA,"1908",NA,NA,NA,NA,NA,NA,NA,NA,NA,       0,"23.778265624111487"," 86.37750718888896","Manbhum District, Parelgoria",78.96288,20.59368
"281",281,"Bengal","Jharia","Manbhum","Paredih Khas",NA,NA, 1,NA,NA,"1907",NA,NA,NA,NA,NA,NA,NA,NA,NA,       0,"23.968428710314022"," 86.80977901119105","Manbhum District, Paredih Khas",83.15150,26.68190
"282",282,"Bengal","Jharia","Manbhum","Phularibad",NA,NA, 1,NA,NA,"1900",NA,NA,NA,NA,NA,NA,NA,NA,NA,   26668,"23.73522676339322"," 86.4145432716727","Manbhum District, Phularibad",78.96288,20.59368
"283",283,"Bengal","Jharia","Manbhum","Pinalgoria","Location unclear",NA, 1,NA,NA,"1906",NA,NA,NA,NA,NA,NA,NA,NA,NA,       0,"23.77223187084052"," 86.23184146628873","Manbhum District, Pinalgoria",78.96288,20.59368
"284",284,"Bengal","Jharia","Manbhum","Pinalgoria","Location unclear",NA, 1,NA,NA,"1907",NA,NA,NA,NA,NA,NA,NA,NA,NA,    1500,"23.77223187084052"," 86.23184146628873","Manbhum District, Pinalgoria",78.96288,20.59368
"285",285,"Bengal","Jharia","Manbhum","Pinalgoria","Location unclear",NA, 1,NA,NA,"1908",NA,NA,NA,NA,NA,NA,NA,NA,NA,       0,"23.77223187084052"," 86.23184146628873","Manbhum District, Pinalgoria",78.96288,20.59368
"286",286,"Bengal","Jharia","Manbhum","Pindargaria","2 mines",NA, 1,NA,NA,"1907",NA,NA,NA,NA,NA,NA,NA,NA,NA,       0,"24.207446479473834"," 87.64323169162162","Manbhum District, Pindargaria",87.64085,24.20602
"287",287,"Bengal","Jharia","Manbhum","Ramgarh",NA,NA, 1,NA,NA,"1906",NA,NA,NA,NA,NA,NA,NA,NA,NA,       0,"23.638498249699303"," 85.50283075266003","Manbhum District, Ramgarh",85.56121,23.65237
"288",288,"Bengal","Jharia","Manbhum","Ramkanali",NA,NA, 1,NA,NA,"1901",NA,NA,NA,NA,NA,NA,NA,NA,NA,      79,"23.799814619877214"," 86.66303603071152","Manbhum District, Ramkanali",86.76426,23.57801
"289",289,"Bengal","Jharia","Manbhum","Ramkanali",NA,NA, 1,NA,NA,"1906",NA,NA,NA,NA,NA,NA,NA,NA,NA,     776,"23.799814619877214"," 86.66303603071152","Manbhum District, Ramkanali",86.76426,23.57801
"290",290,"Bengal","Jharia","Manbhum","Ramkanali",NA,NA, 1,NA,NA,"1907",NA,NA,NA,NA,NA,NA,NA,NA,NA,    1834,"23.799814619877214"," 86.66303603071152","Manbhum District, Ramkanali",86.76426,23.57801
"291",291,"Bengal","Jharia","Manbhum","Ramkanali",NA,NA, 1,NA,NA,"1907",NA,NA,NA,NA,NA,NA,NA,NA,NA,       0,"23.799814619877214"," 86.66303603071152","Manbhum District, Ramkanali",86.76426,23.57801
"292",292,"Bengal","Jharia","Manbhum","Ramkanali",NA,NA, 1,NA,NA,"1908",NA,NA,NA,NA,NA,NA,NA,NA,NA,       0,"23.799814619877214"," 86.66303603071152","Manbhum District, Ramkanali",86.76426,23.57801
"293",293,"Bengal","Jharia","Manbhum","Ranidih",NA,NA, 1,NA,NA,"1909",NA,NA,NA,NA,NA,NA,NA,NA,NA,       0,"24.009100360936"," 86.72650211403287","Manbhum District, Ranidih",78.96288,20.59368
"294",294,"Bengal","Jharia","Manbhum","Sindih",NA,NA, 1,NA,NA,"1907",NA,NA,NA,NA,NA,NA,NA,NA,NA,       0,"23.782434315953054"," 86.25506758553854","Manbhum District, Sindih",78.96288,20.59368
"295",295,"Bengal","Jharia","Manbhum","Sindra",NA,NA, 1,NA,NA,"1898",NA,NA,NA,NA,NA,NA,NA,NA,NA,       0,"22.533608873691303"," 86.63801280630922","Manbhum District, Sindra",86.63718,22.53275
"296",296,"Bengal","Jharia","Manbhum","Sitanullah",NA,NA, 1,NA,NA,"1910",NA,NA,NA,NA,NA,NA,NA,NA,NA,     100,"23.66484463869133"," 86.4050550442179","Manbhum District, Sitanullah",78.96288,20.59368
"297",297,"Bengal","Jharia","Manbhum","Sonalibad","Location unclear, PO Jharia",NA, 1,NA,NA,"1908",NA,NA,NA,NA,NA,NA,NA,NA,NA,   19897,"23.741076845643278"," 86.41366540677915","Manbhum District, Sonalibad",78.96288,20.59368
"298",298,"Bengal","Jharia","Manbhum","Sowardi",NA,NA, 1,NA,NA,"1895",NA,NA,NA,NA,NA,NA,NA,NA,NA,    6167,"23.795484626632717"," 86.26207305031778","Manbhum District, Sowardi",78.96288,20.59368
"299",299,"Bengal","Jharia","Manbhum","Sudandia",NA,NA, 1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,       0,"23.66946597017939"," 86.42389523755517","Manbhum District, Sudandia",78.96288,20.59368
"300",300,"Bengal","Jharia","Manbhum","Surataur","new",NA, 1,NA,NA,"1900",NA,NA,NA,NA,NA,NA,NA,NA,NA,   21456,"23.742328847738804"," 86.41105899756221","Manbhum District, Surataur",72.83106,21.17024
"301",301,"Bengal","Jharia","Manbhum","Surataur","Location unclear, put Jharia",NA, 1,NA,NA,"1899",NA,NA,NA,NA,NA,NA,NA,NA,NA,    5454,"23.742328847738804"," 86.41105899756221","Manbhum District, Surataur",72.83106,21.17024
"302",302,"Bengal","Jharia","Manbhum","Surataur",NA,NA, 1,NA,NA,"1898",NA,NA,NA,NA,NA,NA,NA,NA,NA,       0,"23.742328847738804"," 86.41105899756221","Manbhum District, Surataur",72.83106,21.17024
"303",303,"Bengal","Jharia","Manbhum","Tentulia",NA,NA, 1,NA,NA,"1894",NA,NA,NA,NA,NA,NA,NA,NA,NA,       0,"24.020875269359625"," 87.59203993059269","Manbhum District, Tentulia",88.85750,22.78563
"304",304,"Bengal","Jharia","Manbhum","Tentulia",NA,NA, 1,NA,NA,"1906",NA,NA,NA,NA,NA,NA,NA,NA,NA,   14483,"24.020875269359625"," 87.59203993059269","Manbhum District, Tentulia",88.85750,22.78563
"305",305,"Bengal","Jharia","Manbhum","Tentulia",NA,NA, 1,NA,NA,"1908",NA,NA,NA,NA,NA,NA,NA,NA,NA,       0,"24.020875269359625"," 87.59203993059269","Manbhum District, Tentulia",88.85750,22.78563
"306",306,"Bengal","Jharia","Manbhum","Tettulia",NA,NA, 1,NA,NA,"1896",NA,NA,NA,NA,NA,NA,NA,NA,NA,    3992,"23.79689046751031"," 86.647061312838","Manbhum District, Tettulia",78.96288,20.59368
"307",307,"Bengal","Jharia","Manbhum","Tetturia (West)","West",NA, 1,NA,NA,"1906",NA,NA,NA,NA,NA,NA,NA,NA,NA,       0,"24.383739427025393"," 85.2692282253042","Manbhum District, Tetturia (West)",78.96288,20.59368
"308",308,"Bengal","Jharia","Manbhum","Tisra",NA,NA, 1,NA,NA,"1909",NA,NA,NA,NA,NA,NA,NA,NA,NA,       0,"23.73312565237563"," 86.43501984710706","Manbhum District, Tisra",86.43391,23.72830
"309",309,"Bengal","Jharia","Manbhum","Tisra",NA,NA, 1,NA,NA,"1910",NA,NA,NA,NA,NA,NA,NA,NA,NA,     678,"23.73312565237563"," 86.43501984710706","Manbhum District, Tisra",86.43391,23.72830
"310",310,"Bengal","Jharia","Manbhum","Tundu",NA,NA, 1,NA,NA,"1906",NA,NA,NA,NA,NA,NA,NA,NA,NA,    1596,"23.78857969402145"," 86.25116265730034","Manbhum District, Tundu",86.25268,23.79087
"311",311,"Bengal","Jharia","Manbhum","Verakotah",NA,NA, 1,NA,NA,"1907",NA,NA,NA,NA,NA,NA,NA,NA,NA,       0,"NA",NA,"Manbhum District, Verakotah",78.96288,20.59368
"312",312,"Bengal","Jharia","Manbhum","Western India",NA,NA, 1,NA,NA,"1907",NA,NA,NA,NA,NA,NA,NA,NA,NA,       0,"NA",NA,"Manbhum District, Western India",78.96288,20.59368
"313",313,"Bengal","Jharia-Bokaro","Hazaribagh","Doogda","Nos. 1 and 2", 1,NA,NA,NA,"1909",NA,NA,NA,NA,NA,NA,NA,NA,NA,      82,"23.73790674634622"," 86.15154302686261","Hazaribagh District, Doogda",85.35496,23.97873
"314",314,"Bengal","Rajmahal","Santhal Parganas","Bargo",NA,NA, 1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,       0,"24.434952059872277"," 87.02269120375206","Santhal Parganas District, Bargo",88.40290,22.61681
"315",315,"Bengal","Rajmahal","Santhal Parganas","Domonpur and Bhalki",NA,NA, 1,NA,NA,"1899",NA,NA,NA,NA,NA,NA,NA,NA,NA,       0,"24.48901705475663"," 87.11047542708157","Santhal Parganas District, Domonpur and Bhalki",77.21837,18.05037
"316",316,"Bengal","Rajmahal","Santhal Parganas","Ghat Chora",NA,NA, 1,NA,NA,"1900",NA,NA,NA,NA,NA,NA,NA,NA,NA,       0,"24.466113106322325"," 87.67855206775295","Santhal Parganas District, Ghat Chora",88.40290,22.61681
"317",317,"Bengal","Rajmahal","Santhal Parganas","Ghat Chora",NA,NA, 1,NA,NA,"1901",NA,NA,NA,NA,NA,NA,NA,NA,NA,       0,"24.466113106322325"," 87.67855206775295","Santhal Parganas District, Ghat Chora",88.40290,22.61681
"318",318,"Bengal","Rajmahal","Santhal Parganas","Katmirki and Madankatta",NA,NA, 1,NA,NA,"1908",NA,NA,NA,NA,NA,NA,NA,NA,NA,    2788,"24.16459329978016"," 86.70403432985805","Santhal Parganas District, Katmirki and Madankatta",75.48978,16.24430
"319",319,"Bengal","Rajmahal","Santhal Parganas","Sarsabad",NA,NA, 1,NA,NA,"1897",NA,NA,NA,NA,NA,NA,NA,NA,NA,       0,"24.32369889434814"," 87.21322185256851","Santhal Parganas District, Sarsabad",88.40290,22.61681
"320",320,"Bengal","Ramgarh-Bokaro","Hazaribagh","Bokaro",NA,NA, 1,NA,NA,"1910",NA,NA,NA,NA,NA,NA,NA,NA,NA,     105,"23.802298359722528"," 85.86613724768601","Hazaribagh District, Bokaro",85.35496,23.97873
"321",321,"Bengal","Ramgarh-Bokaro","Hazaribagh","Burhakhad",NA,NA, 1,NA,NA,"1910",NA,NA,NA,NA,NA,NA,NA,NA,NA,      81,"23.6474819413606"," 85.56937377866294","Hazaribagh District, Burhakhad",85.35496,23.97873
"322",322,"Bengal","Ramgarh-Bokaro","Hazaribagh","Naisarai",NA,NA, 1,NA,NA,"1908",NA,NA,NA,NA,NA,NA,NA,NA,NA,       0,"23.64642845014733"," 85.51210416503426","Hazaribagh District, Naisarai",85.35496,23.97873
"323",323,"Bengal","Ramgarh-Bokaro","Hazaribagh","Naisarai",NA,NA, 1,NA,NA,"1910",NA,NA,NA,NA,NA,NA,NA,NA,NA,     128,"23.64642845014733"," 85.51210416503426","Hazaribagh District, Naisarai",85.35496,23.97873
"324",324,"Bengal","Ramgarh-Bokaro","Hazaribagh","Parawalata",NA,NA, 1,NA,NA,"1908",NA,NA,NA,NA,NA,NA,NA,NA,NA,    1852,"NA",NA,"Hazaribagh District, Parawalata",85.35496,23.97873
"325",325,"Bengal","Ramgarh-Bokaro","Hazaribagh","Phoysri",NA,NA, 1,NA,NA,"1909",NA,NA,NA,NA,NA,NA,NA,NA,NA,       0,"23.761113897198193"," 85.99583810403063","Hazaribagh District, Phoysri",85.35496,23.97873
"326",326,"Bengal","Raniganj","Burdwan","Akalpore",NA, 1,NA,NA,NA,"1905",NA,NA,NA,NA,NA,NA,NA,NA,NA,   39152,"25.2206267549541"," 88.13311651080284","Burdwan District, Akalpore",87.61864,23.45953
"327",327,"Bengal","Raniganj","Burdwan","Aldih",NA, 1,NA,NA,NA,"1901",NA,NA,NA,NA,NA,NA,NA,NA,NA,   71940,"23.702563991778856"," 86.88378510269294","Burdwan District, Aldih",86.88350,23.70379
"328",328,"Bengal","Raniganj","Burdwan","Arandanga",NA, 1,NA,NA,NA,"1907",NA,NA,NA,NA,NA,NA,NA,NA,NA,       0,"NA",NA,"Burdwan District, Arandanga",87.61864,23.45953
"329",329,"Bengal","Raniganj","Burdwan","Asansol",NA, 1,NA,NA,NA,"1909",NA,NA,NA,NA,NA,NA,NA,NA,NA,    1239,"23.68415347288215"," 86.980877301351","Burdwan District, Asansol",86.96606,23.68886
"330",330,"Bengal","Raniganj","Burdwan","Bagbandi",NA, 1,NA,NA,NA,"1900",NA,NA,NA,NA,NA,NA,NA,NA,NA,       0,"22.37092333392708"," 87.25514794360086","Burdwan District, Bagbandi",87.01055,23.67844
"331",331,"Bengal","Raniganj","Burdwan","Babisole",NA, 1,NA,NA,NA,"1908",NA,NA,NA,NA,NA,NA,NA,NA,NA,   15763,"23.596162014867016"," 87.16831316188261","Burdwan District, Babisole",87.61864,23.45953
"332",332,"Bengal","Raniganj","Burdwan","Bamanband",NA, 1,NA,NA,NA,"1908",NA,NA,NA,NA,NA,NA,NA,NA,NA,    1825,"23.690802363726302"," 87.17707972750149","Burdwan District, Bamanband",87.17594,23.69154
"333",333,"Bengal","Raniganj","Burdwan","Bamundiha",NA, 1,NA,NA,NA,"1888",NA,NA,NA,NA,NA,NA,NA,NA,NA,    8358,"22.865910133291948"," 86.96659276246751","Burdwan District, Bamundiha",87.61864,23.45953
"334",334,"Bengal","Raniganj","Burdwan","Bamundiha",NA, 1,NA,NA,NA,"1896",NA,NA,NA,NA,NA,NA,NA,NA,NA,    7748,"22.865910133291948"," 86.96659276246751","Burdwan District, Bamundiha",87.61864,23.45953
"335",335,"Bengal","Raniganj","Burdwan","Banali",NA, 1,NA,NA,NA,"1905",NA,NA,NA,NA,NA,NA,NA,NA,NA,   11344,"23.677382848350643"," 87.07731689805216","Burdwan District, Banali",87.61864,23.45953
"336",336,"Bengal","Raniganj","Burdwan","Bankola",NA, 1,NA,NA,NA,"1903",NA,NA,NA,NA,NA,NA,NA,NA,NA,   20505,"23.65482529520489"," 87.24460877242406","Burdwan District, Bankola",87.24628,23.65489
"337",337,"Bengal","Raniganj","Burdwan","Banksimula","Location unclear", 1,NA,NA,NA,"1905",NA,NA,NA,NA,NA,NA,NA,NA,NA,   54483,"23.691419070950108"," 86.96363377681931","Burdwan District, Banksimula",87.61864,23.45953
"338",338,"Bengal","Raniganj","Burdwan","Barabani",NA, 1,NA,NA,NA,"1890",NA,NA,NA,NA,NA,NA,NA,NA,NA,    7274,"23.748037648316267"," 87.0123642722006","Burdwan District, Barabani",87.00994,23.74937
"339",339,"Bengal","Raniganj","Burdwan","Barabani",NA, 1,NA,NA,NA,"1894",NA,NA,NA,NA,NA,NA,NA,NA,NA,   23924,"23.748037648316267"," 87.0123642722006","Burdwan District, Barabani",87.00994,23.74937
"340",340,"Bengal","Raniganj","Burdwan","Barabani",NA, 1,NA,NA,NA,"1900",NA,NA,NA,NA,NA,NA,NA,NA,NA,  137635,"23.748037648316267"," 87.0123642722006","Burdwan District, Barabani",87.00994,23.74937
"341",341,"Bengal","Raniganj","Burdwan","Barabani",NA, 1,NA,NA,NA,"1905",NA,NA,NA,NA,NA,NA,NA,NA,NA,   22034,"23.748037648316267"," 87.0123642722006","Burdwan District, Barabani",87.00994,23.74937
"342",342,"Bengal","Raniganj","Burdwan","Bejdih",NA, 1,NA,NA,NA,"1907",NA,NA,NA,NA,NA,NA,NA,NA,NA,    1805,"23.691836170807406"," 86.87556204789308","Burdwan District, Bejdih",86.87400,23.69832
"343",343,"Bengal","Raniganj","Burdwan","Benakuri","Location unclear", 1,NA,NA,NA,"1906",NA,NA,NA,NA,NA,NA,NA,NA,NA,       0,"23.662244783206443"," 87.12942965479829","Burdwan District, Benakuri",87.61864,23.45953
"344",344,"Bengal","Raniganj","Burdwan","Bhaskajhura",NA, 1,NA,NA,NA,"1901",NA,NA,NA,NA,NA,NA,NA,NA,NA,   73846,"NA",NA,"Burdwan District, Bhaskajhura",87.61864,23.45953
"345",345,"Bengal","Raniganj","Burdwan","Belrui",NA, 1,NA,NA,NA,"1868",NA,NA,NA,NA,NA,NA,NA,NA,NA,   27280,"23.71628573021002"," 86.89228615984555","Burdwan District, Belrui",86.89243,23.71604
"346",346,"Bengal","Raniganj","Burdwan","Bonjimari","Location unclear", 1,NA,NA,NA,"1898",NA,NA,NA,NA,NA,NA,NA,NA,NA,       0,"23.814752104562697"," 86.88313257380072","Burdwan District, Bonjimari",87.61864,23.45953
"347",347,"Bengal","Raniganj","Burdwan","Boria",NA, 1,NA,NA,NA,"1857",NA,NA,NA,NA,NA,NA,NA,NA,NA,  107823,"NA",NA,"Burdwan District, Boria",87.61864,23.45953
"348",348,"Bengal","Raniganj","Burdwan","Burra Dhemo",NA, 1,NA,NA,NA,"1907",NA,NA,NA,NA,NA,NA,NA,NA,NA,   14934,"23.70220386151961"," 86.90659044065885","Burdwan District, Burra Dhemo",87.61864,23.45953
"349",349,"Bengal","Raniganj","Burdwan","Burra Dhemo",NA, 1,NA,NA,NA,"1908",NA,NA,NA,NA,NA,NA,NA,NA,NA,   32187,"23.70220386151961"," 86.90659044065885","Burdwan District, Burra Dhemo",87.61864,23.45953
"350",350,"Bengal","Raniganj","Burdwan","Burra Dhemo",NA, 1,NA,NA,NA,"1908",NA,NA,NA,NA,NA,NA,NA,NA,NA,      88,"23.70220386151961"," 86.90659044065885","Burdwan District, Burra Dhemo",87.61864,23.45953
"351",351,"Bengal","Raniganj","Burdwan","Charanpur",NA, 1,NA,NA,NA,"1875",NA,NA,NA,NA,NA,NA,NA,NA,NA,       0,"23.672362545123494"," 86.95296305809005","Burdwan District, Charanpur",87.61864,23.45953
"352",352,"Bengal","Raniganj","Burdwan","Charanpur",NA, 1,NA,NA,NA,"1899",NA,NA,NA,NA,NA,NA,NA,NA,NA,   73101,"23.672362545123494"," 86.95296305809005","Burdwan District, Charanpur",87.61864,23.45953
"353",353,"Bengal","Raniganj","Burdwan","Charnock",NA, 1,NA,NA,NA,"1907",NA,NA,NA,NA,NA,NA,NA,NA,NA,       0,"NA",NA,"Burdwan District, Charnock",87.61864,23.45953
"354",354,"Bengal","Raniganj","Burdwan","Chinchuria",NA, 1,NA,NA,NA,"1902",NA,NA,NA,NA,NA,NA,NA,NA,NA,   75236,"23.70174863647974"," 87.18535524180155","Burdwan District, Chinchuria",87.18964,23.70516
"355",355,"Bengal","Raniganj","Burdwan","Chinchuria",NA, 1,NA,NA,NA,"1905",NA,NA,NA,NA,NA,NA,NA,NA,NA,   35808,"23.70174863647974"," 87.18535524180155","Burdwan District, Chinchuria",87.18964,23.70516
"356",356,"Bengal","Raniganj","Burdwan","Chora",NA, 1,NA,NA,NA,"1897",NA,NA,NA,NA,NA,NA,NA,NA,NA,   42606,"23.815601877477476"," 87.31006251504844","Burdwan District, Chora",87.19836,23.67113
"357",357,"Bengal","Raniganj","Burdwan","Chotapathar",NA, 1,NA,NA,NA,"1883",NA,NA,NA,NA,NA,NA,NA,NA,NA,       0,"NA",NA,"Burdwan District, Chotapathar",87.61864,23.45953
"358",358,"Bengal","Raniganj","Burdwan","Choto Dhemo",NA, 1,NA,NA,NA,"1884",NA,NA,NA,NA,NA,NA,NA,NA,NA,       0,"23.70220386151961"," 86.90659044065885","Burdwan District, Choto Dhemo",87.61864,23.45953
"359",359,"Bengal","Raniganj","Burdwan","Damodapur",NA, 1,NA,NA,NA,"1900",NA,NA,NA,NA,NA,NA,NA,NA,NA,   74054,"22.77931065971356"," 87.73311137624923","Burdwan District, Damodapur",87.08927,23.70109
"360",360,"Bengal","Raniganj","Burdwan","Damra","old", 1,NA,NA,NA,"1892",NA,NA,NA,NA,NA,NA,NA,NA,NA,   34678,"23.650033580456974"," 87.01171667156723","Burdwan District, Damra",87.01494,23.64840
"361",361,"Bengal","Raniganj","Burdwan","Damra","new", 1,NA,NA,NA,"1899",NA,NA,NA,NA,NA,NA,NA,NA,NA,   19189,"23.650033580456974"," 87.01171667156723","Burdwan District, Damra",87.01494,23.64840
"362",362,"Bengal","Raniganj","Burdwan","Deshargarh",NA, 1,NA,NA,NA,"1876",NA,NA,NA,NA,NA,NA,NA,NA,NA,  180551,NA,NA,"Burdwan District, Deshargarh",87.61864,23.45953
"363",363,"Bengal","Raniganj","Burdwan","Dhadka",NA, 1,NA,NA,NA,"1859",NA,NA,NA,NA,NA,NA,NA,NA,NA,       0,"23.291562218468624"," 87.15091031576306","Burdwan District, Dhadka",86.98118,23.69977
"364",364,"Bengal","Raniganj","Burdwan","Dhundabad",NA, 1,NA,NA,NA,"1899",NA,NA,NA,NA,NA,NA,NA,NA,NA,   15191,"23.77465039402364"," 86.89310887736299","Burdwan District, Dhundabad",86.89353,23.77532
"365",365,"Bengal","Raniganj","Burdwan","Dobalia",NA, 1,NA,NA,NA,"1895",NA,NA,NA,NA,NA,NA,NA,NA,NA,       0,"NA",NA,"Burdwan District, Dobalia",87.61864,23.45953
"366",366,"Bengal","Raniganj","Burdwan","Faridpur",NA, 1,NA,NA,NA,"1901",NA,NA,NA,NA,NA,NA,NA,NA,NA,       0,"23.313607072158057"," 88.03875591917503","Burdwan District, Faridpur",88.03875,23.31359
"367",367,"Bengal","Raniganj","Burdwan","Filgate",NA, 1,NA,NA,NA,"1894",NA,NA,NA,NA,NA,NA,NA,NA,NA,       0,"NA",NA,"Burdwan District, Filgate",87.61864,23.45953
"368",368,"Bengal","Raniganj","Burdwan","Gangatia",NA, 1,NA,NA,NA,"1887",NA,NA,NA,NA,NA,NA,NA,NA,NA,   14480,"23.714132992299376"," 86.83871358780667","Burdwan District, Gangatia",87.61864,23.45953
"369",369,"Bengal","Raniganj","Burdwan","Ghusik",NA, 1,NA,NA,NA,"1887",NA,NA,NA,NA,NA,NA,NA,NA,NA,       0,"23.67387411061726"," 87.00091552548551","Burdwan District, Ghusik",87.61864,23.45953
"370",370,"Bengal","Raniganj","Burdwan","Ghusik",NA, 1,NA,NA,NA,"1891",NA,NA,NA,NA,NA,NA,NA,NA,NA,  108627,"23.67387411061726"," 87.00091552548551","Burdwan District, Ghusik",87.61864,23.45953
